GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj
gene-J2S48_RS08560	2291.03020199575	-3.16617351563087	0.430028016468091	-7.36271450784836	1.80207513373041e-13	3.75754118658193e-12
gene-J2S48_RS18880	3526.85475835667	-2.43446339390719	0.330866441566957	-7.35784319007323	1.86905416164673e-13	3.87414007588669e-12
gene-J2S48_RS07565	1037.01592613203	2.51622852106872	0.342916602737835	7.3377273103117	2.17251228064726e-13	4.45047398778208e-12
gene-J2S48_RS07815	193.00068000047	-3.01649904103253	0.411070838754859	-7.33814894330514	2.16568089695008e-13	4.45047398778208e-12
gene-J2S48_RS04985	1126.74190630897	2.30752380268614	0.314575598957867	7.33535534965378	2.21133962661597e-13	4.50367599536963e-12
gene-J2S48_RS25915	356.641386412599	-3.96618340786396	0.542229532816489	-7.31458389450408	2.58180165939333e-13	5.22777526754615e-12
gene-J2S48_RS25905	583.079811601483	-4.75190719605148	0.651496490821815	-7.29383390854079	3.01256790125671e-13	6.06495710235762e-12
gene-J2S48_RS21240	1154.7292259761	2.67248598943329	0.36752919732149	7.27149301037865	3.55535776341374e-13	7.11681042585047e-12
MSTRG.1092.1	2447.37446086789	2.46781648538803	0.339999438137691	7.25829577514955	3.91997665187458e-13	7.80208989290718e-12
rna-J2S48_RS12470	133.721657677113	-4.65985081544559	0.64488066899056	-7.22591176866832	4.97750846844861e-13	9.8509673248449e-12
gene-J2S48_RS21855	406.898382914997	2.62381970649124	0.363698255733043	7.21427629946387	5.42215624415563e-13	1.06706816422906e-11
MSTRG.3438.1	1194.60622380258	-2.44726692658803	0.339500112394451	-7.20844216906962	5.6595597876358e-13	1.10756636514459e-11
gene-J2S48_RS13370	597.440081028678	-2.4443347724882	0.339192726279416	-7.206330157194	5.74799388937738e-13	1.11862347747161e-11
gene-J2S48_RS02560	197.182217453977	3.00301014714271	0.417081303377306	7.20005937170019	6.01863468018199e-13	1.1648219494297e-11
gene-J2S48_RS21255	688.473720999345	2.30910875573749	0.321477956256181	7.18279033072302	6.83028095814737e-13	1.3146414393621e-11
gene-J2S48_RS00595	349.948930221301	-2.89523984692456	0.403273359575394	-7.17934814730375	7.0044572744536e-13	1.3407985700771e-11
gene-J2S48_RS06930	5379.42571276625	-2.70211745104899	0.376506011304407	-7.17682419382227	7.13493391944043e-13	1.35835182172825e-11
rna-J2S48_RS20040	599.257424585318	-4.43999774605028	0.61919038413966	-7.17065035210371	7.46423189992648e-13	1.41336239705094e-11
MSTRG.863.1	8000.82190534052	-2.31572174671325	0.324251798403927	-7.14173909940357	9.21573972454046e-13	1.73563098145512e-11
gene-J2S48_RS00950	1408.17158478143	2.51340540052943	0.351977859439895	7.14080540329732	9.27856313152583e-13	1.73811800265962e-11
gene-J2S48_RS16650	4952.93745813411	2.53375922298277	0.356004925574155	7.11720271537364	1.10139440193134e-12	2.04136750791825e-11
gene-J2S48_RS19345	400.025727387102	-2.54720837237995	0.357864291129504	-7.11780536789619	1.09659071310989e-12	2.04136750791825e-11
gene-J2S48_RS00955	590.52947650668	2.69218830280652	0.378341124744888	7.11576967643113	1.11290011208155e-12	2.05183636453772e-11
gene-J2S48_RS25085	2629.11599132867	-2.44001672219514	0.343296712903375	-7.10760292913704	1.18075674889323e-12	2.16554496930522e-11
MSTRG.57.1	1815.27809479024	-2.32931383738448	0.328467457645723	-7.0914600005728	1.32704437248964e-12	2.42116481084959e-11
gene-J2S48_RS17415	926.387935176501	-2.23973971074227	0.316279279550094	-7.08152527072999	1.42576361706275e-12	2.58779790185017e-11
gene-J2S48_RS26350	359.98284253586	-2.92767202232264	0.413639421278519	-7.07783608552949	1.46422766511307e-12	2.64391211901603e-11
gene-J2S48_RS18855	3646.81334686808	-1.87176136859373	0.265140541210346	-7.05950647927806	1.67094986499488e-12	3.00171147542414e-11
MSTRG.2427.1	209.949424374415	-2.49306388113246	0.353262624562018	-7.05725346468058	1.69825692604129e-12	3.03520102649114e-11
gene-J2S48_RS24750	832.889849075379	1.98990474293329	0.283882472430208	7.00960762352986	2.38987397741219e-12	4.24960839739842e-11
gene-J2S48_RS12910	319.458221816077	-3.93629391270983	0.561991162059206	-7.00419184224671	2.48415536162958e-12	4.39494759181233e-11
gene-J2S48_RS03950	3664.08433896276	-2.63906924254756	0.378439659058719	-6.97355358873229	3.09033642030444e-12	5.43992385946052e-11
gene-J2S48_RS22370	189.144601150396	2.81232859453442	0.403664682758523	6.96699194815809	3.23789194636676e-12	5.67116774406138e-11
gene-J2S48_RS21850	739.540697481972	-3.02594333556006	0.4347372924746	-6.9603951350386	3.39319659754131e-12	5.91361576178468e-11
gene-J2S48_RS19005	314.448335021577	-2.59013439956693	0.372503961721359	-6.9533069865829	3.568210392761e-12	6.18784208209989e-11
MSTRG.343.1	978.994983578119	2.18517112994811	0.314452640377284	6.94912635278341	3.67555244547674e-12	6.34259123965764e-11
gene-J2S48_RS04565	833.070825434904	-2.80851240253316	0.40468153312106	-6.94005575414531	3.91945224277159e-12	6.7303143168769e-11
MSTRG.1826.1	336.323534535221	-3.80027100506707	0.54920609702252	-6.91957177036081	4.53010935912225e-12	7.74096248049036e-11
